Age,Animals,Plants,EmptyFields,AverageEnergy,AverageLifespan,AverageChildren,MostPopularGenome
0,4,12,84,9.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
1,4,14,82,8.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
2,4,15,81,8.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
3,4,16,80,8.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
4,4,18,78,7.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
5,4,19,77,7.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
6,4,21,75,6.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
7,4,22,74,6.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
8,4,23,73,6.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
9,4,25,71,5.0,0.0,0.0,[2  2  1  5  6  6  5  2  2  0]
10,2,27,71,9.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
11,2,28,70,10.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
12,2,29,69,11.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
13,2,31,67,10.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
14,2,32,66,11.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
15,2,34,64,10.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
16,2,35,64,11.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
17,2,36,62,12.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
18,2,38,60,11.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
19,2,39,59,12.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
20,2,41,57,11.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
21,2,43,55,10.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
22,2,45,53,9.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
23,2,46,52,10.0,10.0,0.0,[2  2  1  5  6  6  5  2  2  0]
